,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
47,19,20,22,18,22,15,21,16,20,19,18,17,19,22,21,19,20,19,19,20,21,18,20,17,18,20,17,15,18,19,17,17,20,21
48,20,21,22,18,21,15,21,16,21,18,19,18,19,22,21,19,20,20,20,21,22,19,20,17,18,20,17,15,17,18,17,18,21,21
49,21,21,23,18,21,15,21,17,20,19,19,17,19,22,21,18,19,21,19,21,21,19,21,18,18,19,16,15,18,19,16,18,20,20
50,21,22,24,18,21,14,21,17,20,20,19,18,19,22,21,18,20,21,19,22,20,20,20,18,18,18,17,15,18,19,16,18,20,20
51,20,21,23,18,20,15,22,17,20,20,19,17,19,22,21,19,20,20,20,21,21,20,20,17,17,18,16,15,17,20,16,19,20,20
52,21,22,23,17,20,15,22,18,20,19,18,17,18,22,21,19,20,20,20,21,20,20,21,18,17,18,17,15,18,21,17,20,19,20
53,21,22,23,17,20,15,22,18,20,19,19,17,18,22,21,19,21,19,20,21,20,21,21,17,17,17,18,15,19,21,17,21,19,20
54,21,22,22,17,20,14,22,18,20,18,19,18,18,23,21,20,21,19,21,21,20,21,21,17,16,17,17,16,20,21,17,20,19,20
55,21,22,23,18,20,15,23,17,20,18,20,18,18,23,21,19,22,20,20,22,20,20,20,18,16,17,18,16,20,22,17,20,20,20
56,21,22,22,18,20,15,23,17,20,18,19,18,18,24,22,19,21,20,20,22,19,19,20,18,15,17,18,16,21,22,17,20,20,21
57,21,22,21,19,20,16,23,17,20,18,20,18,18,25,21,19,20,19,20,22,19,19,19,17,15,17,17,17,21,22,17,20,20,21
58,22,22,21,19,20,15,24,17,19,19,20,18,18,25,21,19,20,19,20,21,18,19,18,16,15,17,17,17,21,23,17,21,20,20
59,22,22,21,19,20,16,24,18,19,19,20,18,18,25,20,19,20,20,20,20,18,20,19,16,16,18,17,17,21,23,17,20,20,21
60,22,21,20,20,19,17,24,19,18,19,20,19,19,25,20,19,21,19,21,20,18,20,19,17,16,18,18,17,22,22,16,20,20,21
61,23,21,20,20,19,17,25,19,19,18,20,18,20,25,21,18,20,20,21,19,18,20,19,18,16,17,18,16,22,22,17,20,20,21
62,24,21,19,20,19,18,24,18,19,17,20,17,20,24,21,18,20,20,21,20,18,19,20,17,15,17,18,16,22,23,16,20,19,20
63,24,20,19,19,20,18,24,18,20,18,19,16,19,24,21,18,20,21,21,19,18,19,20,17,16,17,18,17,21,23,16,21,20,19
64,24,19,19,18,19,18,25,19,21,18,18,17,18,23,20,17,20,20,21,19,18,18,19,17,15,17,17,18,22,23,17,21,20,19
65,24,19,19,17,19,18,25,18,22,18,19,17,19,23,20,17,20,21,20,18,17,19,18,17,14,17,17,19,22,22,16,22,20,19
66,24,19,19,18,19,17,24,18,21,19,18,18,18,23,21,16,19,21,20,19,17,20,19,18,15,17,18,18,22,22,16,22,19,18
67,24,19,18,19,20,16,24,17,22,18,19,18,17,23,21,17,20,21,21,18,18,20,19,17,16,18,18,18,22,21,17,22,18,18
68,23,19,17,20,19,17,24,17,22,19,20,17,16,22,21,16,20,21,21,17,17,19,19,17,17,18,18,18,22,21,17,23,19,19
69,23,20,17,20,19,17,23,16,22,19,20,18,17,22,21,17,20,21,20,17,17,19,18,16,18,18,18,18,22,20,17,23,19,18
70,22,19,16,21,20,17,23,16,22,19,20,18,17,22,21,16,20,21,20,16,17,18,18,17,17,17,18,19,21,21,16,23,19,18
71,22,19,16,21,20,17,23,17,22,19,20,17,17,22,20,17,20,20,19,17,18,18,19,18,17,16,19,20,20,22,17,22,20,18
72,21,19,16,22,20,17,22,16,21,19,20,17,18,22,21,17,20,20,20,17,18,18,19,17,17,15,19,21,20,22,17,21,20,17
73,21,19,17,22,19,16,22,16,21,18,19,17,18,23,22,17,21,19,20,18,17,19,19,18,17,15,19,21,20,21,17,21,19,16
74,21,18,16,22,18,17,22,16,21,19,19,18,19,22,22,17,21,18,20,18,17,19,19,18,18,15,20,21,20,21,16,21,19,16
75,21,18,16,23,19,17,21,16,21,19,20,18,19,22,22,17,21,18,21,18,17,20,20,18,19,15,20,22,21,21,16,21,19,17
76,22,19,15,22,19,17,21,16,20,19,19,18,19,21,22,17,21,19,21,17,16,20,20,19,18,16,20,22,20,21,17,21,18,17
77,21,19,15,23,19,16,21,16,20,20,19,17,19,20,22,17,20,19,20,17,16,19,20,19,19,16,21,23,20,22,16,21,18,17
78,21,20,15,22,19,16,21,15,21,20,19,18,19,21,22,18,20,18,21,17,16,19,20,19,19,16,22,23,20,22,16,20,19,18
79,20,20,15,22,19,17,21,14,20,20,18,18,19,21,22,18,20,18,22,16,16,19,21,19,18,17,22,23,20,22,15,20,18,19
80,21,21,16,22,20,17,20,14,21,20,17,19,18,20,21,18,19,19,22,17,16,20,20,19,18,16,23,23,21,21,16,19,18,18
81,20,21,16,22,20,18,20,14,20,21,18,19,19,20,21,18,19,19,22,18,17,20,20,18,18,16,23,23,21,21,16,19,18,18
82,20,20,15,22,20,18,20,14,20,21,18,18,19,20,22,18,18,20,22,18,17,20,21,19,18,16,22,22,21,20,16,19,18,18
83,20,20,16,22,19,19,20,14,20,21,18,18,19,19,22,18,18,19,22,17,17,20,20,19,18,16,23,22,21,21,16,19,17,19
84,20,20,16,22,18,18,20,15,20,21,17,19,19,18,22,19,18,18,23,17,17,21,20,19,18,16,22,21,21,21,16,19,17,19
85,19,19,17,21,17,18,20,15,20,21,17,19,19,18,22,19,19,18,23,16,18,21,20,18,19,15,22,20,20,20,16,18,17,19
86,19,19,18,21,17,17,20,14,20,20,17,18,19,18,23,19,19,18,22,16,17,20,20,19,19,14,23,20,20,20,16,19,17,19
87,19,19,18,21,17,18,20,14,21,20,17,18,19,18,22,18,19,18,21,17,17,21,21,19,19,13,23,20,19,19,16,18,17,20
88,18,18,18,20,16,18,20,13,20,20,17,19,18,17,23,18,19,18,21,17,17,20,20,19,19,12,24,21,19,18,16,18,16,20
