,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
408,11,13,16,10,17,13,10,12,13,8,9,10,12,13,12,9,14,11,17,16,15,15,12,13,9,12,13,18,16,19,19,15,19,18,17,17,20,15,14,18,18,18,12,14,16,12,7,10,18,15,15
409,13,13,14,11,9,12,14,14,12,13,10,13,16,19,16,15,12,15,11,18,11,13,19,15,9,13,13,15,13,13,15,18,14,10,16,8,12,17,13,10,10,12,7,11,9,14,14,16,16,17,13
410,16,20,12,7,13,8,8,12,8,15,12,15,14,14,14,13,17,13,11,14,11,18,16,19,16,17,14,12,10,12,14,15,15,8,15,8,7,9,5,14,12,14,18,17,15,22,18,20,11,24,15
411,12,14,16,13,15,15,16,18,16,15,11,15,12,14,12,12,12,15,9,12,10,11,15,14,5,13,11,13,14,13,10,16,13,14,17,14,14,11,14,8,11,7,9,8,10,11,15,12,14,15,16
412,11,11,7,9,6,9,15,9,10,10,12,14,11,16,15,12,13,14,14,10,17,9,8,13,12,12,17,11,10,13,12,16,14,12,16,12,11,12,11,10,15,11,14,12,14,13,9,11,16,21,20
413,12,20,12,17,18,13,15,14,13,9,23,14,11,15,13,12,19,12,17,17,15,19,18,17,11,12,11,15,10,14,13,9,11,14,18,11,18,13,18,13,17,15,15,12,13,13,13,13,18,11,16
414,12,9,10,5,9,5,18,16,16,14,14,13,12,16,12,9,13,9,18,17,16,8,17,13,10,13,12,13,16,18,12,14,12,12,14,10,12,15,11,11,14,11,12,14,11,10,11,11,15,11,13
415,8,8,10,14,14,12,18,11,12,11,16,11,14,17,14,15,13,15,15,12,14,12,11,10,14,15,11,11,19,11,16,14,12,18,13,16,14,14,9,7,11,7,11,16,17,12,19,12,16,14,19
416,20,17,18,12,14,16,16,15,16,11,12,13,11,17,11,8,10,8,15,11,15,10,11,10,6,11,11,11,10,9,12,15,14,15,21,15,9,16,10,8,14,9,11,16,13,15,16,15,13,14,14
417,17,13,16,15,12,15,9,15,11,11,12,11,15,12,11,15,15,18,9,11,11,13,7,13,12,12,16,10,10,12,10,15,10,18,19,20,10,16,16,13,11,14,11,18,12,12,10,16,19,19,19
418,10,12,10,10,12,8,10,14,10,15,15,17,12,17,12,14,18,14,10,14,12,16,21,14,9,10,9,12,14,14,9,16,11,9,12,7,14,14,15,10,15,12,13,11,15,12,16,14,11,8,11
419,8,12,7,12,13,12,8,8,6,15,14,17,13,11,15,11,11,13,15,19,17,12,15,12,13,12,13,14,12,14,12,13,10,13,13,15,10,6,8,13,16,13,11,13,13,12,13,11,12,15,12
420,14,13,10,9,9,9,15,11,15,15,12,15,13,15,11,13,14,14,7,15,10,15,14,13,10,12,14,8,8,10,10,18,14,12,20,10,9,12,13,8,10,8,14,11,14,12,12,12,14,14,18
