,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
105,33.0,24.0,25.0,29.0,29.0,38.0,37.0,30.0,45.0,38.0,38.0,36.0,34.0,39.0,34.0,30.0,35.0
106,23.0,33.0,25.0,27.0,26.0,34.0,34.0,32.0,41.0,40.0,26.0,50.0,34.0,32.0,26.0,37.0,27.0
107,33.0,43.0,36.0,31.0,38.0,31.0,45.0,37.0,42.0,37.0,41.0,39.0,29.0,34.0,38.0,49.0,38.0
108,37.0,39.0,39.0,32.0,28.0,43.0,31.0,36.0,38.0,42.0,38.0,45.0,45.0,45.0,45.0,48.0,40.0
109,24.0,39.0,30.0,24.0,33.0,37.0,30.0,50.0,37.0,36.0,47.0,38.0,27.0,27.0,23.0,33.0,38.0
110,32.0,41.0,26.0,19.0,31.0,21.0,30.0,31.0,34.0,31.0,39.0,35.0,42.0,34.0,36.0,29.0,36.0
111,36.0,32.0,29.0,28.0,28.0,40.0,36.0,41.0,31.0,37.0,40.0,46.0,46.0,47.0,41.0,28.0,41.0
112,36.0,45.0,43.0,38.0,47.0,36.0,28.0,44.0,32.0,46.0,46.0,43.0,42.0,38.0,39.0,42.0,39.0
113,48.0,38.0,46.0,38.0,37.0,36.0,43.0,46.0,33.0,37.0,45.0,50.0,27.0,40.0,34.0,44.0,32.0
114,41.0,38.0,40.0,39.0,37.0,45.0,39.0,48.0,42.0,36.0,43.0,44.0,49.0,54.0,44.0,39.0,37.0
115,30.0,47.0,20.0,28.0,40.0,33.0,46.0,27.0,34.0,33.0,39.0,51.0,43.0,42.0,36.0,46.0,39.0
116,41.0,50.0,41.0,48.0,41.0,41.0,33.0,38.0,43.0,40.0,43.0,43.0,48.0,46.0,39.0,44.0,45.0
117,33.0,42.0,34.0,41.0,34.0,26.0,29.0,37.0,39.0,30.0,40.0,35.0,31.0,39.0,36.0,28.0,42.0
118,32.0,32.0,26.0,34.0,27.0,35.0,46.0,36.0,37.0,35.0,38.0,40.0,39.0,40.0,38.0,42.0,32.0
119,36.0,31.0,38.0,47.0,29.0,33.0,25.0,33.0,34.0,33.0,33.0,24.0,24.0,44.0,37.0,37.0,33.0
120,36.0,35.0,27.0,31.0,21.0,35.0,47.0,40.0,37.0,37.0,27.0,37.0,43.0,39.0,35.0,46.0,41.0
