,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
117,17,17,19,16,14,17,18,16,16,18,19,17,24,18,18,22,21,19,19,16,14,18,21,12,23,16,24,17,16,16,16,18,18,20
118,17,17,19,15,14,17,18,15,16,17,19,17,24,18,19,21,21,18,19,16,14,18,21,13,22,15,24,17,15,16,16,19,17,20
119,16,17,19,15,15,17,18,15,16,18,18,17,24,18,18,21,22,17,18,15,13,18,20,12,22,16,23,17,15,16,16,18,17,20
120,16,16,19,15,15,17,17,15,15,18,18,16,23,19,19,20,23,17,17,15,14,17,19,12,21,15,23,17,15,15,16,19,17,19
121,16,17,19,15,14,17,17,14,16,19,19,16,23,19,18,20,22,17,18,15,14,17,20,12,21,15,22,16,14,15,16,19,16,19
122,15,17,20,15,14,16,18,14,16,19,18,15,22,20,19,20,22,18,19,16,13,18,21,13,21,15,22,16,14,16,17,18,17,20
123,15,17,20,14,14,17,17,14,15,20,17,16,22,20,19,20,22,19,18,16,14,19,20,12,21,14,21,16,15,16,17,18,17,20
124,14,17,20,15,15,17,16,15,14,20,17,16,22,20,18,21,22,19,18,15,13,19,20,12,22,14,20,16,15,16,18,17,18,20
125,14,17,20,15,16,18,17,15,15,19,16,16,22,21,19,21,22,18,18,15,14,19,19,13,23,13,20,15,15,16,19,16,18,19
126,13,18,19,15,16,18,17,16,15,20,17,16,23,21,18,21,21,19,18,15,15,20,18,14,23,13,20,15,14,17,18,15,18,18
127,12,19,19,15,16,17,18,16,15,19,17,16,22,22,18,20,21,19,18,15,15,20,18,15,23,13,20,15,14,16,18,16,18,18
128,13,18,19,15,16,17,18,16,15,20,17,17,21,21,17,20,20,19,18,15,15,20,17,15,24,13,21,16,14,16,18,16,18,18
129,12,18,18,15,16,16,17,16,14,20,17,18,21,21,18,19,21,19,18,15,14,21,16,14,24,13,21,17,13,17,18,17,17,17
130,13,17,19,15,16,16,17,16,13,20,18,18,20,21,18,18,20,19,19,15,14,21,15,15,24,12,20,17,13,17,17,18,17,16
131,13,16,20,15,17,17,17,15,13,19,17,19,19,21,19,18,20,19,19,15,13,21,15,15,24,12,20,18,14,16,17,18,17,15
132,13,15,21,15,18,16,17,16,14,18,17,20,19,21,18,18,21,19,18,14,12,21,15,16,24,12,19,17,15,15,17,19,16,15
133,13,15,22,16,19,15,18,16,13,17,17,19,18,20,17,18,20,18,18,14,13,20,15,17,23,11,19,16,15,15,17,19,16,14
134,13,14,22,16,18,14,19,17,14,16,18,18,17,20,18,17,20,17,17,13,14,21,15,17,22,11,20,17,15,15,18,19,16,14
135,13,14,22,15,17,14,18,18,13,16,17,17,17,19,18,17,19,16,16,13,15,20,15,17,21,11,20,18,15,14,17,19,16,15
136,14,15,22,15,17,14,17,18,13,16,17,18,18,20,19,18,19,17,17,13,15,20,15,17,20,11,20,19,15,14,17,19,16,16
137,14,14,22,15,18,14,16,18,13,15,16,19,19,21,19,17,19,17,17,13,15,19,15,17,20,10,20,20,16,14,17,20,16,16
138,15,15,21,16,18,14,16,18,12,14,16,19,19,21,19,17,20,17,17,13,15,19,16,16,19,10,20,20,17,13,17,20,16,17
139,15,16,21,16,18,15,16,18,12,15,16,19,19,21,19,17,19,17,18,13,15,18,16,17,18,11,20,20,18,12,17,19,15,17
140,14,16,21,17,19,15,17,18,12,15,16,18,19,21,19,17,18,17,17,13,16,19,16,17,19,11,21,19,19,12,16,18,14,18
141,14,15,20,17,20,15,17,17,13,15,16,19,19,22,19,17,18,17,16,14,16,19,16,17,18,11,21,18,19,12,16,17,14,17
142,15,16,20,17,20,15,16,17,13,16,17,20,19,21,19,18,18,16,17,14,16,19,16,16,17,12,21,17,20,13,16,16,14,16
143,14,17,19,17,20,15,17,18,12,17,16,20,19,20,18,17,17,15,17,15,15,18,16,15,17,11,20,17,20,13,15,16,14,17
144,15,17,19,17,21,16,17,18,13,16,16,21,19,20,18,17,17,15,16,15,15,18,15,15,16,12,19,16,19,13,16,15,13,17
145,15,17,20,17,20,15,16,18,14,16,16,20,20,19,19,17,17,15,16,15,16,18,15,15,15,13,18,15,19,13,16,14,13,18
146,14,17,20,18,19,15,17,18,14,17,16,19,20,18,19,16,17,15,17,16,15,17,16,16,15,14,17,15,20,14,17,14,13,18
147,14,17,19,19,19,16,16,18,14,17,16,19,20,19,18,16,16,15,18,16,15,16,16,15,16,15,17,16,21,14,17,14,13,17
148,15,17,18,18,19,16,16,18,15,17,17,18,20,19,18,16,15,16,19,16,16,15,17,16,16,15,17,16,21,14,17,15,12,16
149,15,18,19,17,20,15,16,17,15,16,17,19,20,19,17,17,15,16,19,15,16,16,16,17,17,16,16,17,20,15,16,15,11,16
150,16,18,19,17,21,15,16,17,15,16,18,19,20,18,18,17,16,16,19,14,16,17,16,17,16,16,17,17,21,14,16,14,12,16
151,17,17,19,18,21,16,15,18,16,16,18,19,20,17,18,16,16,16,19,14,17,16,15,17,15,15,17,17,21,13,16,14,11,15
152,18,16,19,19,22,16,15,18,16,16,19,18,19,16,18,16,17,16,19,15,17,16,16,18,15,16,16,17,21,13,16,15,10,15
153,18,16,19,19,21,15,16,18,16,16,18,18,18,16,18,16,16,15,19,16,18,16,16,19,15,17,17,17,21,13,16,15,10,16
154,18,16,19,20,20,14,15,17,15,16,19,17,18,15,18,16,15,16,19,16,17,16,16,18,15,18,17,18,21,14,15,15,10,17
155,18,15,20,20,20,14,15,17,16,16,18,17,17,15,19,16,16,15,18,16,17,16,15,17,14,18,17,18,22,15,16,16,10,17
156,19,15,20,19,19,15,15,17,16,16,18,17,18,15,19,16,15,14,17,17,18,16,15,17,14,17,17,18,21,16,16,16,11,16
157,19,15,20,19,19,14,15,16,17,16,18,17,18,16,20,17,15,14,17,17,17,16,16,17,13,16,17,18,20,16,15,16,11,16
158,19,15,21,18,19,15,16,16,17,16,17,17,18,17,20,18,14,13,17,17,17,16,17,18,12,17,16,17,21,16,15,15,12,16
159,19,16,21,19,20,16,16,17,18,17,17,17,18,17,19,17,14,13,17,17,17,16,18,17,12,17,17,18,21,17,16,15,13,17
160,18,15,21,18,20,16,17,18,19,17,18,17,19,16,20,17,14,14,16,17,18,16,18,18,12,17,18,18,21,18,16,15,14,18
161,18,16,21,18,19,17,17,17,18,18,18,18,19,17,21,17,14,15,16,18,19,16,19,17,11,17,19,18,21,18,17,14,14,17
162,18,17,21,18,19,18,17,17,19,18,18,18,19,17,21,17,14,16,17,17,19,16,19,17,12,17,18,19,21,19,17,15,14,18
163,19,17,21,18,20,18,18,16,19,17,17,19,19,16,20,18,14,16,18,18,19,16,19,18,13,17,18,18,21,20,16,15,13,17
164,18,16,21,19,20,18,19,15,20,17,18,19,19,17,20,17,15,16,18,17,19,17,19,18,14,16,18,17,21,20,17,14,12,16
165,18,16,22,20,20,18,19,14,19,16,17,18,19,17,19,17,14,15,17,18,19,18,18,18,14,16,18,17,22,20,17,13,12,16
166,17,16,23,21,20,17,19,15,20,17,18,18,18,17,19,18,14,15,17,18,20,17,17,18,14,17,18,17,21,21,16,13,13,16
167,16,16,22,21,20,16,19,14,19,18,18,18,18,17,19,19,13,14,17,17,20,17,17,19,14,17,18,17,21,21,17,14,13,16
168,17,16,23,20,19,16,18,15,19,17,18,18,18,17,19,19,13,15,17,17,21,18,17,19,15,16,17,18,21,22,17,15,13,16
169,18,16,22,20,19,15,18,16,18,17,19,19,17,17,19,18,14,15,18,18,21,18,16,20,16,17,17,19,20,22,17,16,14,17
170,18,16,22,19,18,16,18,16,18,16,18,19,17,17,20,17,14,15,18,18,20,18,16,20,17,18,16,19,20,22,18,16,15,18
171,18,16,22,19,18,15,18,16,19,16,17,19,16,18,19,16,14,15,19,18,20,19,16,20,16,18,16,18,21,22,18,16,15,18
172,18,16,23,19,18,15,18,16,19,16,18,18,16,19,20,17,15,16,20,17,21,19,17,19,15,19,17,18,21,21,17,16,15,18
173,18,16,23,20,17,14,19,15,19,16,19,17,15,20,20,17,14,17,20,17,22,20,16,19,16,19,18,19,21,21,17,16,16,17
174,17,16,23,20,18,14,19,15,19,17,19,18,15,20,20,17,14,17,20,16,21,20,17,20,17,18,19,20,21,21,17,16,16,16
175,17,15,22,20,19,15,18,15,19,17,18,19,15,21,20,17,13,16,20,16,21,20,18,20,17,18,19,19,20,21,17,15,17,16
176,18,15,23,21,19,15,19,16,18,16,18,18,15,20,21,17,13,16,19,16,21,20,18,20,17,17,19,18,20,20,16,14,16,16
177,18,14,24,20,18,16,18,16,17,15,17,18,15,19,21,16,14,15,19,16,20,21,18,20,16,16,19,19,19,19,15,14,17,17
178,17,14,24,21,18,16,18,16,17,15,16,18,16,19,22,15,13,15,18,16,20,20,19,20,16,16,20,18,19,20,16,15,18,18
179,17,15,23,20,18,16,18,17,17,14,15,18,16,19,22,14,13,15,17,17,19,20,19,20,17,15,21,18,19,20,16,16,19,19
180,16,15,23,20,18,16,19,17,16,14,14,18,17,20,21,14,12,15,18,16,19,20,19,19,17,16,22,18,18,19,15,16,20,19
181,15,14,22,19,17,16,20,16,17,13,15,19,18,21,20,14,13,14,18,16,19,20,19,19,16,16,22,19,18,20,16,16,20,19
